date,campaign_name,cost,purchases,conv_value,impressions,clicks,ctr,cpm,frequency,add_to_cart
2026-05-01,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,300.18,36,2225.6,51187,824,0.0161,5.8644,2.7269,163
2026-05-01,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,72.77,4,375.98,14975,217,0.0145,4.8594,1.3312,24
2026-05-01,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,46.46,2,97.49,9440,122,0.0129,4.9216,1.28,11
2026-05-01,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,332.94,16,1334.67,88855,760,0.0086,3.747,1.5164,57
2026-05-01,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,295.43,24,2035.54,23465,577,0.0246,12.5902,1.8276,118
2026-05-01,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,160.17,19,1075.79,58513,688,0.0118,2.7373,1.6974,65
2026-05-01,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,188.64,10,636.97,36519,735,0.0201,5.1655,1.8872,68
2026-05-01,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,263.02,14,1129.84,46048,337,0.0073,5.7119,1.8033,31
2026-05-01,ASUC-(HISTO)-UK-(UK)-PERF-RTG,206.95,16,1099.32,17287,366,0.0212,11.9714,1.8945,33
2026-05-01,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,194.62,1,174.26,20783,93,0.0045,9.3644,1.7177,11
2026-05-01,ASUC-(HISTO)-US-(US)-PERF-RTG,259.7,17,1352.25,15229,299,0.0196,17.053,1.7984,64
2026-05-01,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,14.89,1,50.96,1545,21,0.0136,9.6375,1.1669,3
2026-05-01,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,9.92,null,null,831,24,0.0289,11.9374,1.6687,null
2026-05-01,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,51.99,1,75.5,10134,138,0.0136,5.1303,1.2598,21
2026-05-01,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,37.32,3,219.49,4682,83,0.0177,7.971,1.5246,17
2026-05-01,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,103.02,8,461.5,35251,351,0.01,2.9225,1.329,8
2026-05-01,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,39.04,2,67,7067,142,0.0201,5.5243,1.8815,9
2026-05-01,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,29.77,null,null,4340,63,0.0145,6.8594,1.2522,1
2026-05-01,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,32.42,2,165.15,4096,67,0.0164,7.915,1.7017,7
2026-05-01,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,65.18,6,297,47525,817,0.0172,1.3715,1.3617,46
2026-05-01,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,54.98,1,51,24546,580,0.0236,2.2399,1.7743,15
2026-05-01,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,79.87,3,114.75,27151,316,0.0116,2.9417,1.3151,6
2026-05-01,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,35.52,1,155,8202,144,0.0176,4.3307,1.6849,13
2026-05-01,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,105.38,6,417,55434,719,0.013,1.901,1.3621,36
2026-05-01,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,65.49,3,241.5,17638,378,0.0214,3.713,1.9312,29
2026-05-01,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,5.92,1,186.18,1631,22,0.0135,3.6297,1.1802,4
2026-05-01,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,5.49,null,null,1451,15,0.0103,3.7836,1.5569,null
2026-05-01,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,4.63,null,null,763,13,0.017,6.0682,1.0792,2
2026-05-01,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,5.36,2,90.55,560,13,0.0232,9.5714,1.2903,2
2026-05-01,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,15.18,null,null,2446,34,0.0139,6.2061,1.308,3
2026-05-01,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,25.75,1,75.5,2682,68,0.0254,9.601,1.6721,7
2026-05-01,ASUC-(NEW)-PERF-RTG-WARM-ROW,45.12,1,95.65,10625,220,0.0207,4.2466,1.643,35
2026-05-01,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,8.87,2,74.22,3066,51,0.0166,2.893,1.3041,3
2026-05-01,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,9.81,1,36.03,2104,41,0.0195,4.6625,1.4235,11
2026-05-01,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,12.69,1,45,6723,77,0.0115,1.8876,1.1824,1
2026-05-01,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,9.03,1,45,2701,22,0.0081,3.3432,1.439,4
2026-05-01,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,7.63,null,null,1064,14,0.0132,7.1711,1.2077,null
2026-05-01,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,3.32,2,168.48,421,10,0.0238,7.886,1.4271,9
2026-05-01,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,148.77,3,258.46,25471,227,0.0089,5.8408,1.2722,25
2026-05-01,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,143.01,2,121.09,12790,261,0.0204,11.1814,1.8801,24
