date,campaign_name,purchases_new
2026-04-26,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,null
2026-04-26,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,7
2026-04-26,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,3
2026-04-26,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,null
2026-04-26,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,null
2026-04-26,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,null
2026-04-26,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,null
2026-04-26,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,2
2026-04-26,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,null
2026-04-26,ASUC-(NEW)-PERF-RTG-WARM-ROW,4
2026-04-26,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,1
2026-04-26,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,1
2026-04-26,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,3
2026-04-26,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,null
2026-04-26,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,1
2026-04-26,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,null
2026-04-26,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,13
2026-04-26,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,1
2026-04-27,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,21
2026-04-27,ASUC-(ALL)-PERF-KIDS-INTER,37
2026-04-27,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,3
2026-04-27,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,3
2026-04-27,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,3
2026-04-27,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,9
2026-04-27,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,9
2026-04-27,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,8
2026-04-27,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,8
2026-04-27,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,13
2026-04-27,ASUC-(HISTO)-UK-(UK)-PERF-RTG,3
2026-04-27,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,10
2026-04-27,ASUC-(HISTO)-US-(US)-PERF-RTG,3
2026-04-27,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,null
2026-04-27,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,null
2026-04-27,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,7
2026-04-27,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,null
2026-04-27,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,4
2026-04-27,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,2
