date,campaign_name,landing_page_views,initiate_checkout
2026-04-25,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,180,
2026-04-25,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,102,
2026-04-25,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,98,
2026-04-25,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,263,
2026-04-25,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,182,
2026-04-25,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,3,
2026-04-25,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,13,
2026-04-25,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,8,
2026-04-25,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,14,
2026-04-25,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,20,
2026-04-25,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,31,
2026-04-25,ASUC-(NEW)-PERF-RTG-WARM-ROW,129,
2026-04-25,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,52,
2026-04-25,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,26,
2026-04-25,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,55,
2026-04-25,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,28,
2026-04-25,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,15,
2026-04-25,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,10,
2026-04-25,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,103,
2026-04-25,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,127,1
2026-04-26,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,506,22
2026-04-26,ASUC-(ALL)-PERF-KIDS-INTER,422,23
2026-04-26,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,441,32
2026-04-26,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,75,4
2026-04-26,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,38,
2026-04-26,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,269,
2026-04-26,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,317,
2026-04-26,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,338,24
2026-04-26,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,537,27
2026-04-26,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,177,
2026-04-26,ASUC-(HISTO)-UK-(UK)-PERF-RTG,236,
2026-04-26,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,99,
2026-04-26,ASUC-(HISTO)-US-(US)-PERF-RTG,226,
2026-04-26,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,23,
2026-04-26,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,20,
2026-04-26,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,72,
2026-04-26,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,52,
2026-04-26,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,123,4
2026-04-26,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,64,
2026-04-26,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,40,
2026-04-26,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,63,
2026-04-26,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,407,
2026-04-26,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,323,
2026-04-26,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,120,
2026-04-26,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,90,
2026-04-26,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,308,
2026-04-26,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,195,
2026-04-26,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,14,
2026-04-26,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,18,
2026-04-26,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,17,
2026-04-26,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,6,
2026-04-26,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,34,
2026-04-26,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,52,
2026-04-26,ASUC-(NEW)-PERF-RTG-WARM-ROW,204,
2026-04-26,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,59,
2026-04-26,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,29,
2026-04-26,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,60,
2026-04-26,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,42,
2026-04-26,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,15,
2026-04-26,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,4,
2026-04-26,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,161,
2026-04-26,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,155,
2026-04-27,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,403,26
2026-04-27,ASUC-(ALL)-PERF-KIDS-INTER,593,16
2026-04-27,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,318,23
2026-04-27,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,93,2
2026-04-27,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,25,
2026-04-27,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,155,
2026-04-27,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,258,
2026-04-27,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,210,21
2026-04-27,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,503,33
2026-04-27,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,157,
2026-04-27,ASUC-(HISTO)-UK-(UK)-PERF-RTG,177,
2026-04-27,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,52,1
2026-04-27,ASUC-(HISTO)-US-(US)-PERF-RTG,166,
2026-04-27,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,13,
2026-04-27,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,16,
2026-04-27,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,82,
2026-04-27,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,49,
2026-04-27,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,207,
2026-04-27,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,69,
2026-04-27,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,37,
